Quality Factor,PSNR,SSIM
1,24.457683074002073,0.6677980984352951
2,24.463487551401165,0.6673542940920378
3,24.98968491177901,0.6787230408124981
4,26.487585731829085,0.7060672203065397
5,27.579693455601788,0.7264009009343279
6,28.379022370084304,0.7465254727893088
7,29.018521571141534,0.760356373624545
8,29.611101346461943,0.7741504499920709
9,30.022078087857025,0.7892758641224465
10,30.404079003902226,0.803845983081338
11,30.842052871909118,0.8160725476158507
12,31.16749283195352,0.8219126301622312
13,31.433972573003786,0.8296266796232117
14,31.622782473369256,0.8325262435826599
15,31.830301207802115,0.8365512852540655
16,31.994087994441895,0.8394851107905439
17,32.12401440343909,0.8445922169336568
18,32.2415632625765,0.8477283625362793
19,32.405001997538385,0.8552128269686827
20,32.636378250740464,0.8673550677267229
21,32.889153606285966,0.87553056078754
22,33.10402656652931,0.8832381389713978
23,33.31291260862222,0.8879994872623301
24,33.529299915234624,0.8925143443273301
25,33.70475725696942,0.8969030261841863
26,33.865411431057815,0.900618427667813
27,34.05670317863431,0.9047701655236332
28,34.2000566894062,0.9075073904409032
29,34.351755211882626,0.9122678866762747
30,34.54695730764884,0.9159759322044395
31,34.68226564460445,0.9181333809724416
32,34.83340593899517,0.9215039350354269
33,35.03370665753287,0.9240919744198723
34,35.144840297097616,0.9259681724760866
35,35.31649483447822,0.9287988432786093
36,35.46440876490727,0.9302138286524921
37,35.54973741071193,0.9310383281168141
38,35.63739412950942,0.9324057405981732
39,35.72392702728528,0.9338973101015069
40,35.7647811694832,0.9341850129755772
41,35.82481035176648,0.9347306018886806
42,35.86106730287926,0.9353016290421896
43,35.898104815066084,0.9355250324427365
44,35.921963408887535,0.936073438595859
45,36.012705181241756,0.9376434098416466
46,36.11619232289264,0.9383081129458949
47,36.152998177499946,0.9385780430977315
48,36.25451490426419,0.9395955587853807
49,36.30814434603718,0.9400736317529205
50,36.37578144582186,0.9407958970785538
51,36.435684842399645,0.9414792740501904
52,36.4551072960225,0.9408724774812456
53,36.547977922550956,0.9422233343915445
54,36.592776224210574,0.9427184754450127
55,36.63263506600507,0.9436144041339287
56,36.69820862139553,0.945601211746669
57,36.818170728831866,0.9475903037098561
58,36.93546124690862,0.950214297418397
59,37.13022461690979,0.952687004237526
60,37.26391784023181,0.9546283210798323
61,37.56507729954086,0.9580606403880498
62,37.77496809634777,0.9614258805635324
63,38.17943930233531,0.968432171244144
64,38.58267054363514,0.971723129400806
65,39.06623224425081,0.9750518926652558
66,39.63079368576441,0.9776011746462315
67,40.19592828240288,0.9795720637754154
68,40.77533746490184,0.9814908057026117
69,41.40195727370029,0.983737575489836
70,41.99231139705284,0.9853214011157547
71,42.892824734838484,0.9881572002556319
72,43.72373792725882,0.9898878293495913
73,44.30367976668725,0.9904497547697393
74,44.991379910300466,0.9914621798616882
75,45.65704759342659,0.9923978889613319
76,46.472581874447776,0.9933888630216493
77,47.82831549250231,0.9948255490212706
78,48.725311418740354,0.995601682197246
79,49.1083787925706,0.9958190177812407
80,49.181378515972874,0.9958450049407231
81,48.91091656952274,0.9956700615679938
82,48.71037750894562,0.9956429327117302
83,48.51189489970917,0.9955253200782561
84,48.067166437455676,0.9952531907675961
85,47.661063946080134,0.994847296163087
86,47.330044004654894,0.9946231981630349
87,47.3074705444104,0.9944366631098833
88,48.858195688959526,0.9960870497691965
89,50.86626267927034,0.9972620227735489
90,53.694865489896124,0.9985181442595408
91,53.121289296519485,0.9984003881908098
92,51.77052501419827,0.9978799388690832
93,52.98707971628307,0.9982164645833829
94,54.38314371513929,0.9987146483132864
95,54.383508254932096,0.9986849137063801
96,55.96446545212014,0.9991075775988963
97,57.46993443162574,0.9993368385062388
98,58.56360570619643,0.9994410704703482
99,60.49584447630818,0.9995543485886704
100,62.30844602415061,0.9997024796754895
